song_id,canonical_title,artist_project,classification,alt_titles,writers,rights_confidence,stage,key,bpm,potential,readiness,confidence,lyric_status,audio_status,theme,hook,sources,soundcloud,best_source,next_action,open_questions,notes
ST-0011,Planet Of The Flakes,Stalemate,original,,Jeff Story,high,released 2010 + live,,,51,83,high,full text read,metadata only,,,LYRICS/14 docx; My Mom Says We're Cool track 10 (2010); setlist 4-26-24 (C#); Voice Memos: 3 recordings (2022-03-30..2024-02-23) — in Voice Memo Intake on Jeff's Mac,,2010 album master,"Archive-with-honor: finished, released, still playable live; not a development priority",,"POTENTIAL 51: teenage insult-punk, fun live, limited ceiling. VOICE MEMOS: 3 matched (2022-03-30 to 2024-02-23). 2023 remaster WAV exists."
ST-0012,Don't Call Me A Hero,Stalemate,original,08 - Don't call me a hero,Jeff Story,high,"performed, no lyric doc",F# (live),,,,insufficient evidence,no doc found,metadata only,,,Set 6-1-2024 mp3 #08; setlist 4-26-24 original (sung by S); Voice Memos: 3 recordings (2024-01-12..2024-03-01) — in Voice Memo Intake on Jeff's Mac,,,Transcribe lyric from the 6-1-2024 set recording,Sung by S — authorship split?, VOICE MEMOS: 3 matched (2024-01-12 to 2024-03-01).
ST-0013,Graveyard Swiftly,Stalemate,original,Graveyard Scwifty; Graveyard shifty,Jeff Story,high,"performed, no lyric doc",E,,,,insufficient evidence,no doc found,metadata only,,,Set 6-1-2024 mp3 #10; setlist 4-26-24 original (S); Voice Memos: 6 recordings (2024-01-12..2024-10-25) — in Voice Memo Intake on Jeff's Mac,,,Transcribe from set recording,Authorship — sung by S, VOICE MEMOS: 6 matched (2024-01-12 to 2024-10-25).
ST-0014,Everyday,Stalemate,original,,Jeff Story,high,released 2010 + Rad Dad set,C,,,,insufficient evidence,no doc found,metadata only,,,My Mom Says We're Cool track 02 (2010); Rad Dad setlist (original); Stalemate song list; Voice Memos: 2 recordings (2022-03-30..2023-06-14) — in Voice Memo Intake on Jeff's Mac,,,,,Survived 16 years into current cover-band sets — that endurance is evidence of a real hook. Priority listen. VOICE MEMOS: 2 matched (2022-03-30 to 2023-06-14).
ST-0015,Annoying Me,Stalemate,original,,Jeff Story,high,recorded 2021,C,,55,,medium,full text read,metadata only,Depression-fueled rage at home,"""I'm sleep punching in the air... and I don't care""","2020-Lyrics/Annoying Me (2021); Annoying Me (SoundCloud 2021, 109 plays); Prime Outline track 11; song list **; Voice Memos: 7 recordings (2019-11-15..2024-10-04) — in Voice Memo Intake on Jeff's Mac",,,Read lyric doc next session,,"POTENTIAL 55: real subject; ""worse/adverse"" chorus rhyme is clinically stiff and fights the anger. VOICE MEMOS: 7 matched (2019-11-15 to 2024-10-04)."
ST-0016,Times Have Changed,Stalemate,original,,Jeff Story,high,recorded 2021 (EP title track),B (list) / G+A charts,,56,,medium,full text read,metadata only,"Relationship strain after ""Andrea"" arrives; personal in-jokes","""Can you say hi to Kimberley?""","2020-Lyrics doc (2020); Times Have Changed EP (SoundCloud 2021, 233 plays — highest recent-era); Crisis Averted charts in 2 keys; Voice Memos: 9 recordings (2021-03-04..2024-07-26) — in Voice Memo Intake on Jeff's Mac",,,,,"Title track of his own 2021 EP + best recent-era play count. Priority read+listen. POTENTIAL 56: conversational charm but diluted hook, thin V2, cliché travel lines. NOTE: the ""Andrea"" here reads like an arrival (child? storm?) — different from the Andrea elegy. Ask Jeff. VOICE MEMOS: 9 matched (2021-03-04 to 2024-07-26). Crisis Averted folder 11: chart in 2 keys + practice + studio takes confirmed."
ST-0017,What To Do,Stalemate,original,What to Do,Jeff Story,high,recorded 2020,Em,,73,,medium,full text read,"signal-analyzed (duration/tempo/key-est/loudness) — NOT auditioned, no transcription","Suicidal-crisis confessional, raw first person","""Betchu wonder what I'm gonna do tonight"" + antiphonal ""(They keep getting closer)""","2020-Lyrics doc (2020); SoundCloud 2020 (""an original song about being in the midst of depression""); Crisis Averted chart+studio; song list ***; Voice Memos: 1 recordings (2023-05-26..2023-05-26) — in Voice Memo Intake on Jeff's Mac",,,,,"HIDDEN GEM CANDIDATE: Jeff's own description marks it as the depression companion to Long Long Drive. Priority read+listen. POTENTIAL 73 (provisional — bridge marked ""still need to write""): hook 16, lyric 14, truth 19, structure 10 (incomplete), identity 9, replay 5. Hidden gem CONFIRMED; finishing the bridge is the unlock. VOICE MEMOS: 1 matched (2023-05-26 to 2023-05-26). Chart read: Key Cm, 84 BPM — a slow dark one. Studio take exists (different key). Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01). Studio take analyzed: 2:15, ~Gm @ ~152bpm — a FAST full-band treatment vs the Cm/84 chart. Two very different versions of this song exist; both preserved."
ST-0018,In The End,Stalemate,original,,Jeff Story,high,multiple recordings,D,,,,low,no doc read,metadata only,,,Crisis Averted chart + practice + studio links; Something Dirty - In The End (Rhodes) v1.0.logicx (2023); song list ***; Voice Memos: 1 recordings (2023-06-01..2023-06-01) — in Voice Memo Intake on Jeff's Mac,,,,,"A Rhodes arrangement exists — someone cared enough to re-arrange it. Not the Linkin Park song; distinct from dustduff90's ""The End"". VOICE MEMOS: 1 matched (2023-06-01 to 2023-06-01)."
ST-0019,Candi Lane,Stalemate / Something Dirty,original,Candy Lane (2017),Jeff Story,high,performed both bands,A,,70,,medium,full text read,metadata only,"Anniversary love song — 18 years, real memories (Loves truck stop, Ardmore OK, the cop)","""Without her I'm insane""",2020-Lyrics/Candi Lane (2024) + Candy Lane (2017); SD setlist 5-13-2023 (marked *); Crisis Averted chart+studio (different key); song list ***; Voice Memos: 3 recordings (2020-06-23..2023-06-01) — in Voice Memo Intake on Jeff's Mac,,,,,"POTENTIAL 65: sturdy singalong chorus; 2024 rewrite trades whimsy for specificity. LINEAGE: Our Life (2014) → Candy Lane (2017) → Candi Lane (2024) — same chorus throughout; catalog as one song, three eras. The 2017 tag ""because she likes my band"" is arguably the best variant. VOICE MEMOS: 3 matched (2020-06-23 to 2023-06-01). Candy Lane 2017 full read RAISES the ceiling: the life-arc verses (kid, empty nest, ""one day one of us will go"") are quietly devastating, and ""especially because she likes my band"" is the best tag of any version. Composite potential 70. Best-of-both edit is a real opportunity."
ST-0020,"Mom, You're The Bomb",Stalemate / Something Dirty,co-write,Mom; Something Dirty - Mom,Jeff Story; Greg Baldia,co-write — Greg Baldia,released 2011 + charts,G list / C+D charts,,,,medium,not read,metadata only,,,"Something Dirty - Mom (SoundCloud 2011, 261 plays; desc: ""Greg Baldia and I wrote this... about my amazing Mom Connie Story""); Jeff Story - Mom You're The Bomb v2.2.wav (2023); Crisis Averted charts in C AND D; song list ***; Voice Memos: 7 recordings (2019-10-15..2023-08-18) — in Voice Memo Intake on Jeff's Mac; TBD Group folder (Drive, Jul 2024): Mom, You're The Bomb demo.mp3 — Jeff's own ""next up?"" demo compilation; twin of the private SoundCloud ""tbd"" playlist",,,,"LIKELY the same underlying song as 2011 ""Mom"" — treat as one entity pending Jeff's confirmation. Co-writer consent needed before any external/AI use.", VOICE MEMOS: 7 matched (2019-10-15 to 2023-08-18).
ST-0021,I'm Sorry I'm Crazy,Jeff Story,original,,Jeff Story,high,recorded 2021,B,,66,,medium,full text read,metadata only,Apology after a mental-health blowup,"""I'm sorry I'm crazy, and I was born this way""",2020-Lyrics doc; SoundCloud 2021 (181 plays); song list; Voice Memos: 2 recordings (2020-10-11..2020-10-11) — in Voice Memo Intake on Jeff's Mac,,,,,"POTENTIAL 66: catchy pop-punk shrug; ""born this way"" collides with Lady Gaga; final-chorus tag keeps mutating (pick one). VOICE MEMOS: 2 matched (2020-10-11 to 2020-10-11). Full read confirms 66: charming shrug-apology; drop the ""born this way"" collision."
ST-0022,Life At The Bottom,Jeff Story,original,,Jeff Story,high,recorded 2021,G,,64,,medium,full text read,metadata only,Rock-bottom acceptance after a public breakdown,"""Who knew life at the bottom ain't so bad""","2020-Lyrics doc (2021); SoundCloud 2021 (137 plays); Voice Memos: 2 recordings (2019-10-29..2021-01-20) — in Voice Memo Intake on Jeff's Mac; TBD Group folder (Drive, Jul 2024): Life at the Bottom v3.0.wav — Jeff's own ""next up?"" demo compilation; twin of the private SoundCloud ""tbd"" playlist",,,,,"POTENTIAL 64: good wry hook; chorus has a repeated typo-stumble (""I gotta it ain't so bad"") to fix; ""masses that are enslaved"" drifts into soapbox (shared vocabulary with Turn Over The Flag). VOICE MEMOS: 2 matched (2019-10-29 to 2021-01-20)."
ST-0023,Highs and Lows,Stalemate,original,,Jeff Story,high,demo 2024,,,64,,medium,full text read,metadata only,Bipolar swings anchored by a devoted partner,"""Oh brain won't you go away / Oh brain just let me escape""",NEW SONGS 2024 doc+demo; Jeff Story - High and Lows v2.wav (2022); Prime Outline track 5; Voice Memos: 14 recordings (2020-10-12..2025-05-16) — in Voice Memo Intake on Jeff's Mac,,,,,"POTENTIAL 64: bridge is the best section; ""You're the blood in my heart"" is a strong odd image; chorus wordy. Companion to Manic!!. VOICE MEMOS: 14 matched (2020-10-12 to 2025-05-16)."
ST-0024,I Need You,Stalemate,original,,Jeff Story,high,demo 2024,,,65,,medium,full text read,metadata only,Needing a partner to see past his mental illness,"""To understand I don't mean what I say""",NEW SONGS 2024 doc + demo (5-22-24); Prime Outline TRACK 1; Voice Memos: 6 recordings (2023-09-26..2024-11-22) — in Voice Memo Intake on Jeff's Mac,,,,,Was slated as Prime Outline album OPENER — but absent from the final six bounces. Why? Ask Jeff or check demo. POTENTIAL 65: echo-vocal chorus is radio-shaped; darker outro variant is the payoff; V2 smells greeting-card. Was Prime Outline TRACK 1 — worth a demo listen to see why it fell off the album. VOICE MEMOS: 6 matched (2023-09-26 to 2024-11-22).
ST-0025,Dystopian Choice,Jeff Story,original,,Jeff Story,high,recorded 2019 + demo 2024,,,62,,medium,full text read,metadata only,Anti-two-party protest,"""I'm just a pissed off American""",2020-Lyrics (2020) + NEW SONGS 2024 doc+demo; SoundCloud 2019 (18 plays); Prime Outline track 9; Voice Memos: 10 recordings (2024-05-22..2024-10-18) — in Voice Memo Intake on Jeff's Mac,,,,,POTENTIAL 62: the hook is a T-shirt; verses all abstraction. VOICE MEMOS: 10 matched (2024-05-22 to 2024-10-18).
ST-0026,Brave New World,Jeff Story,original,,Jeff Story,high,iPhone demo,,,50,,medium,full text read,metadata only,Anti-hypocrisy protest — sweatshops vs performative talk,"""Inclusion only works for those on top""","NEW SONGS 2024 doc + ""8-31-23 3 capo"" demo; SoundCloud 2022 demo (44 plays, ""recorded on my iPhone""); song list; Voice Memos: 10 recordings (2022-03-05..2024-05-22) — in Voice Memo Intake on Jeff's Mac",,,,,Hidden-gem queue: survived from 2022 demo to 2024 re-demo. POTENTIAL 50: skeletal (V2 = 3 lines); chorus grammar breaks down; strong single line though. VOICE MEMOS: 10 matched (2022-03-05 to 2024-05-22).
ST-0027,Morgan The Wizard,Stalemate,original,,Jeff Story,high,multiple logic versions,,,,,insufficient evidence,not found,metadata only,,,Prime Outline track 14; lyric video referenced; no doc/audio located; Voice Memos: 9 recordings (2022-02-23..2024-02-23) — in Voice Memo Intake on Jeff's Mac,,,,," VOICE MEMOS: 9 matched (2022-02-23 to 2024-02-23). Morgan The Wizard = the ""MJ the Wizard"" Logic lineage: v2.0 (2022) -> v3.0 (2023) -> v4.2 (2024) + 9 voice memos. A long-развиваемая song, not a stub. Dustin Duffy recorded bass lines for this song (Stalemate Split/Bass Lines, 2023-12..2024-01)."
ST-0028,The Prime Outline,Stalemate,original,,Jeff Story,high,demo + logic project,,,,,insufficient evidence,not found,metadata only,,,Prime Outline track 3 — the album's own title track; NO doc or audio found anywhere; Voice Memos: 10 recordings (2024-02-03..2025-05-23) — in Voice Memo Intake on Jeff's Mac,,,,Does this song exist (voice memo on phone?) or is it a concept?," VOICE MEMOS: 10 matched (2024-02-03 to 2025-05-23). The Prime Outline EXISTS: 10 voice memos (2024-02..2025-05) + J&C The Prime Outline v2.1.wav (Nov 2024 demo w/ Che) + The Prime Outline v1.3.logicx (Dec 2024). Stage: developed demo, was wrongly ""title only""."
ST-0029,Head in the Sand,Jeff Story,original,,Jeff Story,high,lyric only,B,,58,,medium,full text read,metadata only,Bitter breakup kiss-off (2012),"""head submerged in the sand / I guess that's why they call me a man""",2020-Lyrics (2021); song list **,,,,,"POTENTIAL 58: the sand/man turn is the one clever move; verses high-cliché. Full read (2012 doc) confirms 58; complete song, one clever turn."
ST-0030,Rabbit Hole,Stalemate,original,,Jeff Story,high,listed only,Bb,,,,insufficient evidence,not found,metadata only,,,song list **; Voice Memos: 1 recordings (2023-05-26..2023-05-26) — in Voice Memo Intake on Jeff's Mac,,,,, VOICE MEMOS: 1 matched (2023-05-26 to 2023-05-26).
ST-0031,Newfound Love,Jeff Story,original,New Found Love,Jeff Story,high,lyric only,Am,,62,,medium,full text read,metadata only,Rebuilding a marriage after self-destruction,"""But I gotta go through this to get to you""",2020-Lyrics (2020); song list; Voice Memos: 2 recordings (2020-10-07..2020-10-07) — in Voice Memo Intake on Jeff's Mac,,,,,POTENTIAL 62: that refrain IS the hook; rest of chorus flat; Matrix blue-pill reference dates it. VOICE MEMOS: 2 matched (2020-10-07 to 2020-10-07). Full read confirms 62.
ST-0032,Another Bland Love Song,Jeff Story,original,,Jeff Story,high,recorded 2023 (EP title track),G,,,,low,no doc found,metadata only,,,"SoundCloud 2023 (Another Bland EP); drums wav 2022 + mp3 2024-12; song list; Voice Memos: 4 recordings (2022-03-25..2024-07-27) — in Voice Memo Intake on Jeff's Mac; TBD Group folder (Drive, Jul 2024): Jeff Story - Another Bland Love Song.mp3 — Jeff's own ""next up?"" demo compilation; twin of the private SoundCloud ""tbd"" playlist",,,,,He named an EP after it — self-aware title is very Jeff. VOICE MEMOS: 4 matched (2022-03-25 to 2024-07-27).
JS-0001,Drinking Song,Something Dirty / Stalemate / Rad Dad,original,,Jeff Story,high,demo/mix,Am,,79,82,high,full text read,metadata only,,,"Doc ""Something Dirty - The Drinking Song"" (2022, full lyric+chords); Rad Dad setlist #15; 2GB live video 15 Drinking Song.mp4 (luckyivy86); SD sets; Voice Memos: 2 recordings (2022-03-30..2022-12-13) — in Voice Memo Intake on Jeff's Mac",,,,,"Three bands keep it in the set. Bar-singalong with a complete arc. POTENTIAL 79: hook 18 (""Oh hey bartender"" + Cheers! ending), lyric 15, truth 14, structure 13 (complete, chorded), identity 10, replay 9 (live weapon). Quick-win candidate for a proper studio recording. VOICE MEMOS: 2 matched (2022-03-30 to 2022-12-13)."
